raw,doi_sample,container_title,issn,publisher,venue_key,norm_raw,norm_key
IEEE Transactions on Knowledge and Data Engineering,10.1109/TKDE.2023.3302847,IEEE Transactions on Knowledge and Data Engineering,1041-4347,Institute of Electrical and Electronics Engineers (IEEE),ISSN:1041-4347,ieee trans knowledge and data engineering,issn 1041 4347
2025 IEEE 4th International Conference on AI in Cybersecurity (ICAIC),10.1109/ICAIC63015.2025.10848615,2025 IEEE 4th International Conference on AI in Cybersecurity (ICAIC),,IEEE,2025 ieee 4th international conference on ai in cybersecurity,2025 ieee 4th international conference on ai in cybersecurity,2025 ieee 4th international conference on ai in cybersecurity
IEEE Open Journal of the Computer Society,10.1109/OJCS.2023.3300321,IEEE Open Journal of the Computer Society,2644-1268,Institute of Electrical and Electronics Engineers (IEEE),ISSN:2644-1268,ieee open  the computer society,issn 2644 1268
2024 IEEE 29th International Workshop on Computer Aided Modeling and Design of Communication Links and Networks (CAMAD),10.1109/CAMAD62243.2024.10942898,2024 IEEE 29th International Workshop on Computer Aided Modeling and Design of Communication Links and Networks (CAMAD),,IEEE,2024 ieee 29th international workshop on computer aided modeling and design of communication links and networks,2024 ieee 29th international workshop on computer aided modeling and design of communication links and networks,2024 ieee 29th international workshop on computer aided modeling and design of communication links and networks
2019 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),10.1109/CVPR.2019.01022,2019 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),,IEEE,2019 ieee cvf conference on computer vision and pattern recognition,2019 ieee cvf conference on computer vision and pattern recognition,2019 ieee cvf conference on computer vision and pattern recognition
2023 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV),10.1109/WACV56688.2023.00622,2023 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV),,IEEE,2023 ieee cvf winter conference on applications of computer vision,2023 ieee cvf winter conference on applications of computer vision,2023 ieee cvf winter conference on applications of computer vision
IEEE Consumer Electronics Magazine,10.1109/MCE.2017.2685019,IEEE Consumer Electronics Magazine,2162-2248,Institute of Electrical and Electronics Engineers (IEEE),ISSN:2162-2248,ieee consumer electronics magazine,issn 2162 2248
Artificial Intelligence and Machine Learning in Drug Design and Development,10.1002/9781394234196.ch7,Artificial Intelligence and Machine Learning in Drug Design and Development,,Wiley,artificial intelligence and machine learning in drug design and development,artificial intelligence and machine learning in drug design and development,artificial intelligence and machine learning in drug design and development
2018 IEEE 4th International Conference on Collaboration and Internet Computing (CIC),10.1109/CIC.2018.00-47,2018 IEEE 4th International Conference on Collaboration and Internet Computing (CIC),,IEEE,2018 ieee 4th international conference on collaboration and internet computing,2018 ieee 4th international conference on collaboration and internet computing,2018 ieee 4th international conference on collaboration and internet computing
IGARSS 2022 - 2022 IEEE International Geoscience and Remote Sensing Symposium,10.1109/IGARSS46834.2022.9883242,IGARSS 2022 - 2022 IEEE International Geoscience and Remote Sensing Symposium,,IEEE,igarss 2022 2022 ieee international geoscience and remote sensing symposium,igarss 2022 2022 ieee international geoscience and remote sensing symposium,igarss 2022 2022 ieee international geoscience and remote sensing symposium
2023 IEEE International Conference on Image Processing (ICIP),10.1109/ICIP49359.2023.10222528,2023 IEEE International Conference on Image Processing (ICIP),,IEEE,2023 ieee international conference on image processing,2023 ieee international conference on image processing,2023 ieee international conference on image processing
2021 IEEE International Geoscience and Remote Sensing Symposium IGARSS,10.1109/IGARSS47720.2021.9554533,2021 IEEE International Geoscience and Remote Sensing Symposium IGARSS,,IEEE,2021 ieee international geoscience and remote sensing symposium igarss,2021 ieee international geoscience and remote sensing symposium igarss,2021 ieee international geoscience and remote sensing symposium igarss
2025 IEEE 22nd International Symposium on Biomedical Imaging (ISBI),10.1109/ISBI60581.2025.10980939,2025 IEEE 22nd International Symposium on Biomedical Imaging (ISBI),,IEEE,2025 ieee 22nd international symposium on biomedical imaging,2025 ieee 22nd international symposium on biomedical imaging,2025 ieee 22nd international symposium on biomedical imaging
"2024 3rd Odisha International Conference on Electrical Power Engineering, Communication and Computing Technology (ODICON)",10.1109/ODICON62106.2024.10797604,"2024 3rd Odisha International Conference on Electrical Power Engineering, Communication and Computing Technology (ODICON)",,IEEE,2024 3rd odisha international conference on electrical power engineering  communication and computing technology  odicon,2024 3rd odisha international conference on electrical power engineering communication and computing technology,2024 3rd odisha international conference on electrical power engineering communication and computing technology odicon
"2023 International Conference on Advances in Computation, Communication and Information Technology (ICAICCIT)",10.1109/ICAICCIT60255.2023.10466226,"2023 International Conference on Advances in Computation, Communication and Information Technology (ICAICCIT)",,IEEE,2023 international conference on advances in computation  communication and information technology  icaiccit,2023 international conference on advances in computation communication and information technology,2023 international conference on advances in computation communication and information technology icaiccit
"2022 IEEE 6th Advanced Information Technology, Electronic and Automation Control Conference (IAEAC )",10.1109/IAEAC54830.2022.9929762,"2022 IEEE 6th Advanced Information Technology, Electronic and Automation Control Conference (IAEAC )",,IEEE,2022 ieee 6th advanced information technology electronic and automation control conference,2022 ieee 6th advanced information technology electronic and automation control conference,2022 ieee 6th advanced information technology electronic and automation control conference
2024 15th International Conference on Information and Communication Technology Convergence (ICTC),10.1109/ICTC62082.2024.10827504,2024 15th International Conference on Information and Communication Technology Convergence (ICTC),,IEEE,2024 15th international conference on information and communication technology convergence  ictc,2024 15th international conference on information and communication technology convergence,2024 15th international conference on information and communication technology convergence ictc
2nd International Conference on Mechatronic Automation and Electrical Engineering (ICMAEE 2024),10.1049/icp.2024.4493,IET Conference Proceedings,2732-4494,Institution of Engineering and Technology (IET),ISSN:2732-4494,2nd international conference on mechatronic automation and electrical engineering,issn 2732 4494
2021 IEEE 4th International Conference on Big Data and Artificial Intelligence (BDAI),10.1109/BDAI52447.2021.9515223,2021 IEEE 4th International Conference on Big Data and Artificial Intelligence (BDAI),,IEEE,2021 ieee 4th international conference on big data and artificial intelligence,2021 ieee 4th international conference on big data and artificial intelligence,2021 ieee 4th international conference on big data and artificial intelligence
2019 14th International Joint Symposium on Artificial Intelligence and Natural Language Processing (iSAI-NLP),10.1109/iSAI-NLP48611.2019.9045713,2019 14th International Joint Symposium on Artificial Intelligence and Natural Language Processing (iSAI-NLP),,IEEE,2019 14th international joint symposium on artificial intelligence and natural language processing  isai nlp,2019 14th international joint symposium on artificial intelligence and natural language processing,2019 14th international joint symposium on artificial intelligence and natural language processing isai nlp
2021 3rd International Conference on Artificial Intelligence and Advanced Manufacture (AIAM),10.1109/AIAM54119.2021.00086,2021 3rd International Conference on Artificial Intelligence and Advanced Manufacture (AIAM),,IEEE,2021 3rd international conference on artificial intelligence and advanced manufacture  aiam,2021 3rd international conference on artificial intelligence and advanced manufacture,2021 3rd international conference on artificial intelligence and advanced manufacture aiam
2023 2nd International Conference on Artificial Intelligence and Computer Information Technology (AICIT),10.1109/AICIT59054.2023.10277883,2023 2nd International Conference on Artificial Intelligence and Computer Information Technology (AICIT),,IEEE,2023 2nd international conference on artificial intelligence and computer information technology  aicit,2023 2nd international conference on artificial intelligence and computer information technology,2023 2nd international conference on artificial intelligence and computer information technology aicit
2021 3rd International Conference on Industrial Artificial Intelligence (IAI),10.1109/IAI53119.2021.9619455,2021 3rd International Conference on Industrial Artificial Intelligence (IAI),,IEEE,2021 3rd international conference on industrial artificial intelligence  iai,2021 3rd international conference on industrial artificial intelligence,2021 3rd international conference on industrial artificial intelligence iai
